n,direct,var_direct,indirect,var_indirect
500,0.344196135878947,2.59001329687232,0.140870095427542,0.618825278213761
500,0.429517711397912,1.48732971235276,0.038703072401625,0.254772336363984
500,0.340408193469231,1.78460032306762,0.140550192063024,0.442053831045531
500,0.465677148090943,1.5675370708126,0.0851845193260803,0.222943914064871
500,0.312506245483441,1.66899135049454,0.0946435793824927,0.31283608792544
500,0.365375541192976,1.66202273747471,0.0781597337653751,0.247906186077187
500,0.373754261668691,3.05755728509728,0.0802438408290442,0.870710108670204
500,0.462074820416272,1.8976489692909,0.0684429868637746,0.422106922789011
500,0.392245712172764,1.89405986971412,0.0781926933772268,0.296589950458075
500,0.331270116065456,2.33502053960064,0.154540740492057,0.848170118406796
500,0.147579396179473,1.91764574466869,0.191890026151663,0.63894768163565
500,0.346964211685779,2.04370969588587,0.0784652425922912,0.501241400884236
500,0.43182867568792,2.0580518601222,0.0541349462127655,0.356784233169839
500,0.313042550424987,1.93613034141499,0.0717962060412042,0.321639600875841
500,0.308153361265915,2.13889610032654,0.0920807835997808,0.472415710088706
500,0.517458027513012,2.17481994709773,0.0549605171802905,0.609068499675037
500,0.419951432931781,1.49673337306375,0.0820743106156566,0.420684009327769
500,0.348680119962852,2.15222670476324,0.0794145824865864,0.544252824967444
500,0.358203208272992,2.25479232344838,0.0661137397652143,0.543690230656837
500,0.26175434387208,1.77041200588234,0.0997096694741573,0.372202670588408
500,0.43373459017951,1.88684364475987,0.053538541041626,0.293921265509857
500,0.241348574038522,1.97584223089621,0.132049238225932,0.499053347110574
500,0.425409944189418,2.20430142548634,0.105825524734794,0.488170870078605
500,0.320897614942822,1.48155927077943,0.0856260169665354,0.276028329452407
500,0.331455719569103,2.31348481057195,0.140895755539939,0.596941051111741
500,0.262237155002036,1.5495574216446,0.115078900699517,0.476502076396333
500,0.28217500546463,1.68920201847536,0.0891707507065206,0.32603771552243
500,0.34379755299477,2.41092365560858,0.142474787686422,0.759634632519844
500,0.404277368858538,2.06029936505482,0.050331681405394,0.516743660807294
500,0.31983842232109,1.93798996402436,0.0668682356927562,0.385066820340964
500,0.316452225361883,2.02813914180714,0.126566359139809,0.406347697501338
500,0.429425098721876,2.65695044551386,0.0399699033304379,0.713208388390559
500,0.438158799626539,2.234864383821,0.0565653142234487,0.548059994738854
500,0.381676208620545,2.36230623666968,0.0394842317293633,0.602457441060219
500,0.368352815084595,2.22064908182824,0.0820767273219899,0.657332588302263
500,0.314120353072537,1.74135332208708,0.0178650363335511,0.245562095934917
500,0.552209819663135,1.58564388530482,-0.00963307033723959,0.277164162187897
500,0.392714817022121,1.79690139038865,0.0782591787332996,0.45694897548891
500,0.184709402132172,2.53823531936063,0.196365998347082,0.981868799243766
